City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
181,lompoc,34.6391,-120.4579,20.08,71,0,2.57,US,1675546720
182,barcelos,41.5388,-8.6151,10.94,73,0,2.13,PT,1675546873
183,hays,30.0502,-98.0336,16.84,63,82,3.13,US,1675546873
184,nieves,15.3274,120.9485,23.73,89,67,1.56,PH,1675546875
185,the pas,53.8251,-101.2541,-13.99,72,100,1.54,CA,1675546592
186,egvekinot,66.3167,-179.1667,-33.33,88,15,6.01,RU,1675546611
187,touros,-5.1989,-35.4608,26.5,80,89,6.2,BR,1675546884
188,okhotsk,59.3833,143.3,-26.86,82,40,4.97,RU,1675546885
189,taoudenni,22.6783,-3.9836,15.76,35,100,5.54,ML,1675546886
190,mitchelstown,52.2658,-8.2681,5.27,92,32,1.52,IE,1675546892
191,loukhi,66.0764,33.0381,-12.92,90,38,3.55,RU,1675546893
192,iqaluit,63.7506,-68.5145,-36.84,65,40,6.17,CA,1675546718
193,araouane,18.9048,-3.5265,16.61,16,98,5.52,ML,1675546610
194,faanui,-16.4833,-151.75,27.49,72,64,8.36,PF,1675546556
195,altamira,-3.2033,-52.2064,32.05,58,40,1.54,BR,1675546894
196,missoula,47.0166,-113.8009,2.53,99,92,1.95,US,1675546645
197,makakilo city,21.3469,-158.0858,22.23,87,100,4.12,US,1675546895
198,alugan,12.2188,125.4808,25.5,85,99,6.99,PH,1675546896
199,sao joao da barra,-21.6403,-41.0511,30.05,90,7,6.42,BR,1675546722
200,honiara,-9.4333,159.95,28.48,78,96,0.69,SB,1675546896
201,mackenzie,55.2999,-123.1698,1.12,93,100,2.06,CA,1675546659
202,calama,-22.4667,-68.9333,22.27,35,40,10.29,CL,1675546233
203,daru,-9.0763,143.2092,24.08,93,100,3.89,PG,1675546897
204,sao filipe,14.8961,-24.4956,22.12,63,28,6.42,CV,1675546898
205,bredasdorp,-34.5322,20.0403,20.93,81,0,3.64,ZA,1675546607
206,pevek,69.7008,170.3133,-37.42,100,93,0.74,RU,1675546466
207,kyzyl,51.7,94.45,-18.67,97,100,0.49,RU,1675546899
208,sola,-13.8833,167.55,26.37,89,100,0.0,VU,1675546604
209,katubao,5.8892,124.8294,25.39,79,100,1.75,PH,1675546900
